epoch,phase,trn_loss,trn_binary,trn_drug3,trn_time,trn_supcon,trn_binary_acc,trn_drug3_acc,trn_drug4_acc,trn_time_acc,val_loss,val_binary,val_drug3,val_time,val_supcon,val_binary_acc,val_drug3_acc,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,A,0.4363,0.4363,0.0,1.6834,0.0,0.7662,0.3759,0.4203,0.1994,0.3976,0.3976,0.0,1.712,0.0,0.7874,0.3977,0.3511,0.1877,0.00e+00,2.00e-04,840.8,2026-04-09 11:27:10
2,A,0.3295,0.3295,0.0,1.6797,0.0,0.8478,0.3807,0.4535,0.2033,0.4871,0.4871,0.0,1.7318,0.0,0.7319,0.4438,0.3282,0.1929,0.00e+00,2.00e-04,825.9,2026-04-09 11:40:57
3,A,0.2852,0.2852,0.0,1.6783,0.0,0.8733,0.3997,0.483,0.201,0.5544,0.5544,0.0,1.7313,0.0,0.7278,0.5004,0.365,0.194,0.00e+00,2.00e-04,824.1,2026-04-09 11:54:41
4,A,0.1962,0.1962,0.0,1.6804,0.0,0.9165,0.3634,0.4894,0.2022,0.4566,0.4566,0.0,1.6945,0.0,0.7776,0.3118,0.2776,0.1967,5.00e-05,2.00e-04,844.4,2026-04-09 12:08:46
5,A,0.1237,0.1237,0.0,1.6787,0.0,0.9523,0.3184,0.4778,0.2015,0.1749,0.1749,0.0,1.7182,0.0,0.946,0.3208,0.4598,0.204,5.00e-05,2.00e-04,839.0,2026-04-09 12:22:46
6,B,0.0923,0.0923,0.0,1.6794,0.0,0.9664,0.269,0.4484,0.2019,0.1409,0.1409,0.0,1.7404,0.0,0.9594,0.3134,0.4788,0.2043,5.00e-05,2.00e-04,839.7,2026-04-09 12:36:47
7,B,0.9655,0.0838,0.3233,1.5577,0.0,0.9716,0.8685,0.8827,0.2625,0.9756,0.0707,0.3139,1.6347,0.0,0.9844,0.8655,0.8867,0.2131,5.00e-05,2.00e-04,854.2,2026-04-09 12:51:02
8,B,0.7956,0.0626,0.1908,1.451,0.0,0.9782,0.9248,0.9289,0.323,0.9232,0.1039,0.2201,1.6079,0.0,0.9717,0.908,0.9048,0.2488,5.00e-05,2.00e-04,850.7,2026-04-09 13:05:14
9,B,0.7386,0.058,0.1553,1.3912,0.0,0.9798,0.9401,0.9397,0.3541,1.0215,0.062,0.4162,1.5662,0.0,0.9905,0.7958,0.8424,0.2801,5.00e-05,2.00e-04,842.5,2026-04-09 13:19:17
10,B,0.6836,0.046,0.1229,1.3481,0.0,0.9848,0.9528,0.9529,0.3759,0.8725,0.0448,0.2614,1.5462,0.0,0.9874,0.8696,0.8927,0.2966,2.50e-05,1.00e-04,840.2,2026-04-09 13:33:18
11,B,0.6419,0.0357,0.0992,1.3172,0.0,0.988,0.9626,0.9629,0.3967,0.8568,0.0405,0.2272,1.5863,0.0,0.9907,0.8843,0.9068,0.2869,2.50e-05,1.00e-04,847.1,2026-04-10 10:36:53
12,B,0.6201,0.0303,0.0877,1.299,0.0,0.9902,0.9666,0.9673,0.4038,0.8056,0.0442,0.1652,1.5732,0.0,0.9894,0.9233,0.9337,0.2929,2.50e-05,1.00e-04,846.7,2026-04-10 10:51:07
13,B,0.6125,0.0293,0.0804,1.2973,0.0,0.9906,0.9707,0.9707,0.4007,0.8587,0.0707,0.1964,1.5774,0.0,0.9832,0.9084,0.9167,0.2758,2.50e-05,1.00e-04,849.4,2026-04-10 11:05:17
14,B,0.5898,0.0215,0.0767,1.2675,0.0,0.9931,0.9719,0.9739,0.4166,0.8212,0.0419,0.1817,1.5849,0.0,0.9899,0.9104,0.9251,0.2916,1.25e-05,5.00e-05,873.0,2026-04-16 08:01:43
15,B,0.582,0.0231,0.0674,1.2627,0.0,0.9927,0.9746,0.9753,0.4176,0.8379,0.0499,0.1889,1.5921,0.0,0.988,0.908,0.9214,0.2785,1.25e-05,5.00e-05,864.5,2026-04-16 08:16:09
16,B,0.5795,0.0231,0.0694,1.2523,0.0,0.9926,0.9735,0.9746,0.4233,0.8297,0.048,0.181,1.5922,0.0,0.9886,0.9099,0.9235,0.2754,1.25e-05,5.00e-05,857.9,2026-04-16 08:30:28
17,B,0.5804,0.0224,0.0681,1.2587,0.0,0.9925,0.9751,0.9755,0.42,0.8122,0.0456,0.1623,1.592,0.0,0.9896,0.9222,0.9337,0.2821,1.25e-05,5.00e-05,879.0,2026-04-16 08:45:07
18,B,0.5723,0.0213,0.0631,1.2513,0.0,0.9927,0.977,0.9769,0.4212,0.8332,0.0502,0.1808,1.596,0.0,0.9885,0.9098,0.9235,0.2804,6.25e-06,2.50e-05,880.3,2026-04-16 08:59:48
19,B,0.5679,0.0192,0.0607,1.2504,0.0,0.9938,0.9783,0.9786,0.4224,0.8035,0.0433,0.1621,1.5763,0.0,0.9882,0.9204,0.9308,0.2843,6.25e-06,2.50e-05,858.5,2026-04-16 09:14:08
20,C,0.5699,0,0,0,0,0,0,0.4217,0.9796,0,0,0,0.8314,0.9289,0.2762,0,0,0.3,1.00e-06,1.00e-04,5.00e-05,848.9,2026-04-16 09:28:17
